category,title,slug,source_url,tagline,players,difficulty,age,vibes,description,trailer_url,booking_url,gallery_image_count,gallery_image_urls,needs_review
VR Arcade,Escape Bloody Mary,escape-bloody-mary,https://overworld.com.sg/experience/escape-bloody-mary/,Solo horror puzzle escape - survive the ghost in the mirror.,1,Medium,16+,Puzzle & Escape; Horror,"Escape Bloody Mary is a short and sweet horror VR escape room following the folklore behind the legend of Bloody Mary. Turn off the lights, light a few candles, say her name three times into a mirror and you might see her on the other side. Escape Bloody Mary takes you through the worst possible scenario of the childhood ritual. Prepare for an immersive horror experience which transforms your typical bathroom into an unsettling and stressful haunted environment with no way out. Can you find a way out before Bloody Mary claims your soul?",https://www.youtube.com/embed/MNnmQbY3pHE?feature=oembed,https://bookeo.com/overworldKallangwavemall,2,https://overworld.com.sg/wp-content/uploads/2026/04/ss_8b36d20c0451525697fcd5a2962970ebf521f9e8.1920x1080.jpg; https://overworld.com.sg/wp-content/uploads/2026/04/maxresdefault.jpg,
VR Arcade,Fear of the Dark,fear-of-the-dark,https://overworld.com.sg/experience/fear-of-the-dark/,A spine-chilling co-op horror experience for the brave.,1-5,Medium,16+,Shooter; Puzzle & Escape; Co-op,"Do your best to survive in a village infected by some of the scariest creatures you've ever seen. Tread carefully, be alert, shoot with precision and you might be able to make it out alive. Play together with up to five friends in co-op mode.",https://www.youtube.com/embed/9Gt-hgk1vGs?feature=oembed,https://bookeo.com/overworldKallangwavemall,2,https://overworld.com.sg/wp-content/uploads/2026/04/ss_c2ef6cc627fbf95bb995d8d2003bb602036de4b5.jpg; https://overworld.com.sg/wp-content/uploads/2026/04/movie_full.jpg,
VR Arcade,Fruit Ninja VR,fruit-ninja-vr,https://overworld.com.sg/experience/fruit-ninja-vr/,Slice flying fruit with virtual katana blades. Endless arcade fun.,1,Easy,8+,Casual & Party,"​The most satisfying and accessible party game ever created comes to virtual reality! The Fruit Ninja phenomenon continues into the next generation yet again, and the Dojo is ready. YOU are the ninja!
​
Play the original fruit-slicing action game enjoyed by billions of players around the world in a whole new way! Fruit Ninja VR takes squishy, satisfying gameplay and turns it into a virtual reality experience that can be enjoyed by players of all ages and skill levels. Step into the Fruit Ninja universe and tackle fruit from all angles - just don't hit the bombs!
​
Take your ninja skills to the next level by slicing, juggling and skewering fruit in virtual reality. Hit huge combos, deflect bombs with a flick of the wrist, and stake your claim on global leader boards or relax with some Zen Mode.",https://www.youtube.com/embed/d2tSJ3oKGS0?feature=oembed,https://bookeo.com/overworldKallangwavemall,2,https://overworld.com.sg/wp-content/uploads/2026/06/fruit-ninja-vr-free-download-preinstalled-steamrip.jpg; https://overworld.com.sg/wp-content/uploads/2026/04/71dIfNfE1yL.jpg,
VR Arcade,Galactic Rangers VR,galactic-rangers-vr,https://overworld.com.sg/experience/galactic-rangers-vr/,Fast-paced sci-fi shooter across galactic battlefields.,1-2,Easy,10+,Shooter; Co-op,"Best Space first-person shooter in which you - the main character, a brave galactic ranger. Grab your blasters and forth to sweep opponents! It's time to fight the enemies!
Have you ever dreamed of having a classic arcade cabinet in your house or apartment, or even at the office? Have you seen yourself being totally inside the game? Now, with Galactic Rangers VR, there is only one thing you need to do in order to turn this dream to reality. Just get your VR helmet and run the game. Galactic Rangers VR will take you on and immerse into a space battle!",https://www.youtube.com/embed/v3vjCQsgCVQ?feature=oembed,https://bookeo.com/overworldKallangwavemall,2,https://overworld.com.sg/wp-content/uploads/2026/04/galactic-rangers6.jpeg; https://overworld.com.sg/wp-content/uploads/2026/04/5e268dae46177c5295455943.webp,
VR Arcade,Gang of Dummizz,gang-of-dummizz,https://overworld.com.sg/experience/gang-of-dummizz/,Cartoonish co-op gunplay with goofy gang antics.,1-6,Easy,13+,Shooter; Adventure; Co-op,"Wrongly accused and brought to justice, you have decided to take revenge...
Escaped from prison, you and your former colleagues prepare the heist of the century. Because yes, the VSC Bank where you used to work is waiting for you... and you intend to (really) plunder it!",https://www.youtube.com/embed/KMkjyqEGUkk?feature=oembed,https://bookeo.com/overworldKallangwavemall,2,https://overworld.com.sg/wp-content/uploads/2026/04/Img-paysage_01.webp; https://overworld.com.sg/wp-content/uploads/2026/04/68b32a99be6ce066ad2ef6a1_64f7954a297341d681c55322_2.jpeg,
VR Arcade,Half-Life: Alyx,half-life-alyx,https://overworld.com.sg/experience/half-life-alyx/,The legendary VR shooter campaign - a benchmark experience.,1,Hard,16+,Shooter; Adventure,"Half-Life: Alyx is Valve's VR return to the Half-Life series. It's the story of an impossible fight against a vicious alien race known as the Combine, set between the events of Half-Life and Half-Life 2.
Playing as Alyx Vance, you are humanity's only chance for survival. Since the Black Mesa incident, the Combine's control of the planet has only strengthened as they corral the remaining population in cities. Among them are some of Earth's greatest scientists: you and your father, Dr. Eli Vance.
As founders of a fledgling Resistance, you've continued your clandestine scientific activity-performing critical research and building invaluable tools for the few humans brave enough to defy the Combine.
Every day, you learn more about your enemy, and every day you work toward finding a weakness.",https://www.youtube.com/embed/eissLJw27d4?feature=oembed,https://bookeo.com/overworldKallangwavemall,2,https://overworld.com.sg/wp-content/uploads/2026/04/halflife_alyx_11-scaled.jpg; https://overworld.com.sg/wp-content/uploads/2026/04/ss_fcc7a64234b8b26cac3d69dfc4779dd438582f15.1920x1080.jpg,
VR Arcade,Kyber Knights,kyber-knights,https://overworld.com.sg/experience/kyber-knights/,Lightsaber arena duels for the next generation of VR knights.,2-10,Medium,10+,Shooter; PvP / Competitive,A multiplayer VR game. Kyber Knights is a fun and easy multiplayer game developed exclusively for VR MMOFPS. Simple controls and an easy to control Operator View make this fast paced shooter a great choice for MMOFPS.,https://www.youtube.com/embed/ak0G9_stxvQ?feature=oembed,https://bookeo.com/overworldKallangwavemall,2,https://overworld.com.sg/wp-content/uploads/2026/04/ss_ed80682ff0b9ed575144b1377d2eb983536d895e.1920x1080.jpg; https://overworld.com.sg/wp-content/uploads/2026/04/page_bg_raw-1.png,
VR Arcade,Loco Dojo,loco-dojo,https://overworld.com.sg/experience/loco-dojo/,Wacky party minigames in a martial arts dojo of nonsense.,1-4,Medium,10+,PvP / Competitive; Casual & Party,"Enter the whimsical wooden world of Loco Dojo and step up to Grand Sensei's 'Table of Trials' to pit your silliest skills against (up to) three friends or strangers in this hilariously competitive cross-platform multiplayer social VR party game.
Take turns to spin the dice wheel and move your counter around the dojo's game board, acquiring strategic prizes and launching ludicrous trials in which to compete with your rival players to prove yourself as a master of martial madness!",https://www.youtube.com/embed/20vRNxMfVKs?feature=oembed,https://bookeo.com/overworldKallangwavemall,2,https://overworld.com.sg/wp-content/uploads/2026/04/LocoDojoScreenshot_FoggyMarsh.webp; https://overworld.com.sg/wp-content/uploads/2026/04/image_2.jpg,
VR Arcade,Oh Shape,oh-shape,https://overworld.com.sg/experience/oh-shape/,Strike a pose to fit through walls in this hilarious rhythm workout.,1,Medium,10+,Rhythm & Music; Casual & Party,"Oh Shape is a VR rhythm game offering a unique way of moving your whole body. Dodge obstacles, punch walls and make fun poses to get through each map. Play with the coins and be the star of your own show!
Without realizing it, you'll be working out like you've never done before, and you will just want more and more. Enjoy the feeling, and sweat it out!
​Oh Shape is fun for all the family. With 4 difficulty levels and a lot of gameplay settings, you can customize the experience to your skills and you will see great improvements with practice.
Oh Shape is a great gateway into the VR rhythm world but it's also a real challenge for the most seasoned players.",https://www.youtube.com/embed/l7SkBuhvhlk?feature=oembed,https://bookeo.com/overworldKallangwavemall,2,https://overworld.com.sg/wp-content/uploads/2026/04/Ohshape-2.webp; https://overworld.com.sg/wp-content/uploads/2026/04/Copia-de-ohshape-tower-reloaded-2.png,
VR Arcade,Pixel Hack,pixel-hack,https://overworld.com.sg/experience/pixel-hack/,Retro-styled co-op shooter with bright pixel-art chaos.,2-4,Easy,10+,Shooter; Casual & Party,"A multiplayer online cooperative shooting game that combines elements of shooting, roguelike, cooperation, bullet hell, dodging, and music. Set in a world that blends reality with fiction, the game uses pixelated art style to give players a nostalgic feeling of playing arcade games from their childhood.",https://www.youtube.com/embed/Sfo5IBupIBg?feature=oembed,https://bookeo.com/overworldKallangwavemall,2,https://overworld.com.sg/wp-content/uploads/2026/04/007.jpg; https://overworld.com.sg/wp-content/uploads/2026/04/002.jpg,
VR Arcade,Private Property,private-property,https://overworld.com.sg/experience/private-property/,Co-op tower defense action with strategic firepower.,1-8,Medium,10+,Shooter; Adventure; Tower defense,"Private Property takes players to the 19th Century picturesque forests of rural Montana where the Property is based and now in danger. The goal for each team is to defend locations chosen from farms, towns, and railroad stations from hordes of zombies.
You can experience the adventure with your friends and jointly defend the location from zombies crawling towards the property from the darkest parts of the forest. Each player has access to a wide range of weapons (inspired by authentic ones from the 19th century!) - from revolvers to grenade launchers - to fulfill the needs of both ambitious adventure seekers and early-adopters.",https://www.youtube.com/embed/AtLrbiqc1TY?feature=oembed,https://bookeo.com/overworldKallangwavemall,2,https://overworld.com.sg/wp-content/uploads/2026/04/ss_80d32c23e45f7ca33aa4b37e4ff8f62cc5e4e105.1920x1080.jpg; https://overworld.com.sg/wp-content/uploads/2026/04/maxresdefault-3.jpg,
VR Arcade,Propagation: Top Squad,propagation-top-squad,https://overworld.com.sg/experience/propagation-top-squad/,Co-op zombie survival in pulse-pounding squad combat.,1-8,Medium,16+,Shooter; Zombie; Co-op,"Propagation: Top Squad is a VR action shooter in which players take on the role of a group of soldiers who have landed in a city ravaged by a zombie apocalypse. They are responsible for restarting the military ARES devices (kinds of anti-zombie antennas) placed in the city, before the end of the allotted time. Players must make their way among the hordes of zombies to access the antennas, activate them, then defend them until they are fully activated. A whole arsenal of weapons is available all along with their progress. After episodes 1, 2, and 3 very demanding, Propagation: Top Squad wants to be more accessible and let off steam.",https://www.youtube.com/embed/EY9AHCjmgjk?feature=oembed,https://bookeo.com/overworldKallangwavemall,2,https://overworld.com.sg/wp-content/uploads/2026/06/9.jpg; https://overworld.com.sg/wp-content/uploads/2026/06/6.jpg,
VR Arcade,Propagation: Top Survivors,propagation-top-survivors,https://overworld.com.sg/experience/propagation-top-survivors/,Outlast the horde in this co-op zombie survival epic.,1-8,Medium,16+,Shooter; Zombie; Co-op,"Propagation: Top Survivors is a VR action shooter game in which up to 8 players take on the role of zombie apocalypse survivors forced to leave their camp because of a dangerous hurricane. In order to be evacuated by the Top Squad, survivors must find their way through hordes of zombies to reach the meeting point. Their mission is to restart the ARES military anti-zombies devices set up throughout the city before time runs out (20 min configurable). They will have access to an entire arsenal of weapons as they make their way through the city, to protect the ARES until their full activation.
In line with the previous games from the Propagation series, Top Survivors will offer players a new thrilling mission where they will be able to lay off some steam and collaborate in a heavy atmosphere through new sensational environments.",https://www.youtube.com/embed/KKlYgY655tE?feature=oembed,https://bookeo.com/overworldKallangwavemall,2,https://overworld.com.sg/wp-content/uploads/2026/06/Propagation-Top-Survivors-7.jpg; https://overworld.com.sg/wp-content/uploads/2026/06/Propagation-Top-Survivors-3.jpg,
VR Arcade,Ragnarock,ragnarock,https://overworld.com.sg/experience/ragnarock/,Drum your viking longship to victory with epic metal beats.,1-8,Easy,7+,PvP / Competitive; Rhythm & Music,"Are you ready to rock? Ragnarock is a solo/multiplayer VR rhythm game. Your crew needs a viking captain who can rock hard and take risks. With your two hammers, crush the incoming runes in sync with epic Viking music. Keep hitting the runes perfectly to accumulate combo energy in your hammers, and you will be able to activate a speed boost! Set sail against your rivals in multiplayer! Can you outrace them all and carve your name on the leaderboard?",https://www.youtube.com/embed/K2gYP2neXNI?feature=oembed,https://bookeo.com/overworldKallangwavemall,2,https://overworld.com.sg/wp-content/uploads/2026/04/maxresdefault-2.jpg; https://overworld.com.sg/wp-content/uploads/2026/04/ss_95a879585be2f614ef5cb5a17a85391a081b98ab.1920x1080.jpg,
VR Arcade,Shooty Fruity Arcade,shooty-fruity-arcade,https://overworld.com.sg/experience/shooty-fruity-arcade/,Stock shelves and shoot rampaging fruit in chaotic arcade fun.,1,Easy,10+,Shooter; Casual & Party,"​Scan, serve & pack produce whilst shooting guns to defend your store from mutant fruit! Shooty Fruity is a multi-tasking shooter only possible with a VR headset & motion control. Can you do your job as a sharpshooting shop clerk during the heat of combat? Take on new roles, unlock new weapons & blow up tons of fruit in your juicy career. Scan! Shoot! Repeat!",https://www.youtube.com/embed/CUuB5RKPVnc?feature=oembed,https://bookeo.com/overworldKallangwavemall,2,https://overworld.com.sg/wp-content/uploads/2026/04/page_bg_raw.jpg; https://overworld.com.sg/wp-content/uploads/2026/04/1_Ar3DsdZg0FKwUeMN9diXpQ.jpg,
VR Arcade,Smash Point,smash-point,https://overworld.com.sg/experience/smash-point/,Large-team arena combat built for big group sessions.,1-17,Easy,8+,Shooter; PvP / Competitive; Casual & Party,"Dive into a cartoon-styled world, chasing and smashing each other with the coolest new weapons.
Smash Point is a competitive multiplayer VR game full of visual fun.
The game is played in Deathmatch mode, all against all, so the fun never ends because no one dies for long. The standard number of rounds is 10, one round can be set between 5 and 7 minutes long. The player with the most points wins. The game can host up to 10 players. Bots can be used to fill positions, and will automatically keep the number of players to a minimum of 6. There are 14 charismatic characters in Smash Point, so everyone can find their favourite.",https://www.youtube.com/embed/2AGyGKRKYPU?feature=oembed,https://bookeo.com/overworldKallangwavemall,2,https://overworld.com.sg/wp-content/uploads/2026/06/Smash-Point-Gameplay-2.jpg; https://overworld.com.sg/wp-content/uploads/2026/06/Smash-Point-Gameplay.jpg,
VR Arcade,Synth Riders,synth-riders,https://overworld.com.sg/experience/synth-riders/,Dance and flow through neon synthwave tracks.,1-6,Easy,8+,Rhythm & Music,"Let the music move you in Synth Riders, a dance-action VR rhythm game with custom song support and a thriving multiplayer community!",https://www.youtube.com/embed/verTo5g-DRM?feature=oembed,https://bookeo.com/overworldKallangwavemall,2,https://overworld.com.sg/wp-content/uploads/2026/04/SR_screenshot_01-1200x675-1.png; https://overworld.com.sg/wp-content/uploads/2026/04/61qaZ-mzSlL._AC_UF8941000_QL80_.jpg,
VR Arcade,The Burning Descent,the-burning-descent,https://overworld.com.sg/experience/the-burning-descent/,Battle-royale style arena combat for VR squads.,2-6,Medium,13+,Shooter; PvP / Competitive,"The Burning Descent is an intuitive, fast-paced competitive VR shooter in which you take the role of mercenaries battling in a deathmatch arena.
You'll fight across a colossal and vertiginous arena, teleporting from platform to platform and bullseyeing your opponents with different cool weapons.",https://www.youtube.com/embed/yqWVivtwLXE?feature=oembed,https://bookeo.com/overworldKallangwavemall,2,https://overworld.com.sg/wp-content/uploads/2026/04/TBDScreen2-1.webp; https://overworld.com.sg/wp-content/uploads/2026/04/ss_83f42dd9da01529ce234b552bddbc3c167fb05dc.1920x1080.jpg,
VR Arcade,Tower Tag,tower-tag,https://overworld.com.sg/experience/tower-tag/,Laser-tag style PvP arena combat that rewards quick thinking.,2-8,Medium,10+,Shooter; PvP / Competitive,Tower Tag is a hyper-dynamic futuristic paintball like PVP shooter with a grappling hook locomotion method that becomes second nature instantly. Without any motion sickness!...,https://www.youtube.com/embed/P-_2mpBdmg4?feature=oembed,https://bookeo.com/overworldKallangwavemall,2,https://overworld.com.sg/wp-content/uploads/2026/04/Tower-Tag-9-1024x576-1.jpg; https://overworld.com.sg/wp-content/uploads/2026/04/Tower-Tag-Screenshot-1.jpg,
VR Escape,Alice,alice,https://overworld.com.sg/experience/alice/,Fall down the rabbit hole and into a wonderland that won't let you wake up.,2-4,Hard,10+,Adventure,,,https://bookeo.com/overworldKallangwavemall,3,https://overworld.com.sg/wp-content/uploads/2026/04/escape-the-worlds-1024x585.jpg; https://overworld.com.sg/wp-content/uploads/2026/04/dream-hacker.jpg; https://overworld.com.sg/wp-content/uploads/2026/04/dream-hacker-2-1024x550.jpg,Yes
VR Escape,Beyond Medusa's Gate,beyond-medusas-gate,https://overworld.com.sg/experience/beyond-medusas-gate/,Sail into Greek mythology and uncover the legendary Argo before its secrets vanish.,2-4,Medium,13+,Puzzle & Escape; Adventure; Co-op,"Beyond Medusa's Gate is not a video game. It is an escape game experience set in the world of Assassin's Creed Odyssey.
You will experience a larger-than-life adventure as if you were there, 445 BEC in Ancient Greece. Never alone, as part of a team (of 2 or 4), you become the hero and experience in total safety situations that would be far too dangerous or just impossible to live in real life.
Welcome to the Animus.
Greece 445 B.C. in an age of eloquent philosophers, merciless gods, and death-promising oracles. Somewhere on the Peloponnese peninsula, in a vast Aegean coastal cave, an old artefact has been hidden. It could be the legendary ship of the Argonauts...
Using the Animus simulation program and our database of recorded genetic memories, we will send you back to Greece. Find the ship, if it exists...",https://www.youtube.com/embed/yH3FJRECEMM?feature=oembed,https://bookeo.com/overworldKallangwavemall,2,https://overworld.com.sg/wp-content/uploads/2026/04/BeyondMedusaGate_Greece-scaled-1-1024x576-1.jpg; https://overworld.com.sg/wp-content/uploads/2026/04/BeyondMedusaGate_Lobby-1.jpg,
VR Escape,Chernobyl,chernobyl,https://overworld.com.sg/experience/chernobyl/,Step inside the exclusion zone and uncover the truth behind the disaster.,2-6,Easy,13+,Puzzle & Escape; Adventure; Co-op,"If only we could change the past, or witness the events that changed the world... Is it possible to change fate? Travel back in time to see if you can change the situation from which, it seemed - there was no way out. Find answers to questions that have remained unanswered until now.",https://www.youtube.com/embed/2BNEDCyD9vs?feature=oembed,https://bookeo.com/overworldKallangwavemall,2,https://overworld.com.sg/wp-content/uploads/2026/04/chernobyl-vr.webp; https://overworld.com.sg/wp-content/uploads/2026/04/Chernobyl-Again-Ferris-Wheel-Pripyat-1200x675-1.jpg,
VR Escape,Christmas,christmas,https://overworld.com.sg/experience/christmas/,A magical festive escape perfect for the whole family this holiday season.,1-6,Easy,8+,Casual & Party,"Christmas is under threat! Santa has got caught in a blizzard, he has lost all the presents and cannot find his way home. Only you can save Christmas. Find out why the magic elves refuse to work and the presents are not getting to the children. Hurry up to revive the first Christmas tree along with Santa's best reindeer!",https://www.youtube.com/embed/SLlohSxihF0?feature=oembed,https://bookeo.com/overworldKallangwavemall,2,https://overworld.com.sg/wp-content/uploads/2026/04/Christmas_8.webp; https://overworld.com.sg/wp-content/uploads/2026/04/Christmas1.webp,
VR Escape,Cyberpunk,cyberpunk,https://overworld.com.sg/experience/cyberpunk/,Hack the system in a neon-soaked dystopia where reality is a glitch.,2-4,Hard,13+,Puzzle & Escape; Adventure,,,https://bookeo.com/overworldKallangwavemall,3,https://overworld.com.sg/wp-content/uploads/2026/04/escape-the-worlds-1024x585.jpg; https://overworld.com.sg/wp-content/uploads/2026/04/dream-hacker.jpg; https://overworld.com.sg/wp-content/uploads/2026/04/dream-hacker-2-1024x550.jpg,Yes
VR Escape,Dream Hacker,dream-hacker,https://overworld.com.sg/experience/dream-hacker/,Infiltrate the subconscious and uncover secrets buried deep within the mind.,2-4,Hard,16+,Adventure,,,https://bookeo.com/overworldKallangwavemall,3,https://overworld.com.sg/wp-content/uploads/2026/04/escape-the-worlds-1024x585.jpg; https://overworld.com.sg/wp-content/uploads/2026/04/dream-hacker-2-1024x550.jpg; https://overworld.com.sg/wp-content/uploads/2026/04/dream-hacker-3-1024x576.jpg,Yes
VR Escape,Dream Hacker 2,dream-hacker-2,https://overworld.com.sg/experience/dream-hacker-2/,"The dream is darker, the secrets deeper - return for round two.",2-4,Hard,16+,Adventure,,,https://bookeo.com/overworldKallangwavemall,3,https://overworld.com.sg/wp-content/uploads/2026/04/escape-the-worlds-1024x585.jpg; https://overworld.com.sg/wp-content/uploads/2026/04/dream-hacker.jpg; https://overworld.com.sg/wp-content/uploads/2026/04/dream-hacker-3-1024x576.jpg,Yes
VR Escape,Dream Hacker 3,dream-hacker-3,https://overworld.com.sg/experience/dream-hacker-3/,The final descent. Dreams collide with nightmares in this mind-bending finale.,2-4,Hard,16+,Adventure,,,https://bookeo.com/overworldKallangwavemall,3,https://overworld.com.sg/wp-content/uploads/2026/04/escape-the-worlds-1024x585.jpg; https://overworld.com.sg/wp-content/uploads/2026/04/dream-hacker.jpg; https://overworld.com.sg/wp-content/uploads/2026/04/dream-hacker-2-1024x550.jpg,Yes
